0x0594,18904,1364,13.85924,/source/projects/sprites/sprites.hs:288
0x05A6,13006,1364,9.535191,/source/projects/sprites/sprites.hs:289
0x05AC,1854,341,5.43695,/source/projects/sprites/sprites.hs:290
0x05B4,16,1,16,/source/system/byte.hs:5
0x05B7,0,1,0,/source/system/byte.hs:7
0x05BF,0,1,0,/source/library/displays/oledssd1306.hs:129
0x05C1,0,1,0,/source/library/displays/oledssd1306.hs:132
0x05C4,0,1,0,/source/library/displays/oledssd1306.hs:134
0x05DC,16,1,16,/source/library/displays/oledssd1306.hs:141
0x05E5,0,1,0,/source/library/displays/oledssd1306.hs:142
0x05EE,16,1,16,/source/library/displays/oledssd1306.hs:145
0x05F4,0,1,0,/source/library/displays/oledssd1306.hs:146
0x05FA,16,1,16,/source/library/displays/oledssd1306.hs:147
0x0600,0,1,0,/source/library/displays/oledssd1306.hs:150
0x060F,0,1,0,/source/library/displays/oledssd1306.hs:152
0x0615,0,1,0,/source/library/displays/oledssd1306.hs:157
0x061A,16,1,16,/source/library/displays/oledssd1306.hs:158
0x0620,0,1,0,/source/library/displays/oledssd1306.hs:159
0x0626,0,1,0,/source/library/displays/oledssd1306.hs:160
0x062C,15,1,15,/source/library/displays/oledssd1306.hs:161
0x0632,0,1,0,/source/library/displays/oledssd1306.hs:162
0x063C,16,1,16,/source/library/displays/oledssd1306.hs:163
0x0642,0,1,0,/source/library/displays/oledssd1306.hs:164
0x0659,0,1,0,/source/library/displays/oledssd1306.hs:170
0x065F,16,1,16,/source/library/displays/oledssd1306.hs:171
0x0664,0,1,0,/source/library/displays/oledssd1306.hs:172
0x066A,0,1,0,/source/library/displays/oledssd1306.hs:173
0x066F,15,1,15,/source/library/displays/oledssd1306.hs:174
0x0675,0,1,0,/source/library/displays/oledssd1306.hs:175
0x067B,0,1,0,/source/library/displays/oledssd1306.hs:176
0x0681,0,1,0,/source/library/displays/oledssd1306.hs:177
0x0686,0,1,0,/source/library/displays/oledssd1306.hs:178
0x069D,15,1,15,/source/library/displays/oledssd1306.hs:184
0x06A3,0,1,0,/source/library/displays/oledssd1306.hs:185
0x06A8,0,1,0,/source/library/displays/oledssd1306.hs:186
0x06AE,16,1,16,/source/library/displays/oledssd1306.hs:187
0x06B3,0,1,0,/source/library/displays/oledssd1306.hs:188
0x06B9,0,1,0,/source/library/displays/oledssd1306.hs:189
0x06BF,16,1,16,/source/library/displays/oledssd1306.hs:190
0x06C4,0,1,0,/source/library/displays/oledssd1306.hs:191
0x06DB,0,1,0,/source/library/displays/oledssd1306.hs:197
0x06E1,15,1,15,/source/library/displays/oledssd1306.hs:198
0x06E4,0,1,0,/source/library/displays/oledssd1306.hs:199
0x06EA,16,1,16,/source/library/displays/oledssd1306.hs:200
0x06FE,0,1,0,/source/library/displays/oledssd1306.hs:201
0x0704,16,1,16,/source/library/displays/oledssd1306.hs:202
0x070A,0,1,0,/source/library/displays/oledssd1306.hs:203
0x0710,0,1,0,/source/library/displays/oledssd1306.hs:204
0x0716,15,1,15,/source/library/displays/oledssd1306.hs:205
0x071B,0,1,0,/source/library/displays/oledssd1306.hs:206
0x0731,0,1,0,/source/library/displays/oledssd1306.hs:212
0x0737,16,1,16,/source/library/displays/oledssd1306.hs:213
0x073C,0,1,0,/source/library/displays/oledssd1306.hs:214
0x0742,0,1,0,/source/library/displays/oledssd1306.hs:215
0x0748,15,1,15,/source/library/displays/oledssd1306.hs:216
0x074E,0,1,0,/source/library/displays/oledssd1306.hs:217
0x0754,0,1,0,/source/library/displays/oledssd1306.hs:218
0x075A,16,1,16,/source/library/displays/oledssd1306.hs:219
0x0760,0,1,0,/source/library/displays/oledssd1306.hs:221
0x0765,0,1,0,/source/library/displays/oledssd1306.hs:222
0x077B,16,1,16,/source/library/displays/oledssd1306.hs:228
0x077E,0,1,0,/source/library/displays/oledssd1306.hs:229
0x0780,0,1,0,/source/library/displays/oledssd1306.hs:230
0x0784,0,1,0,/source/library/displays/oledssd1306.hs:114
0x0788,0,1,0,/source/library/displays/oledssd1306.hs:116
0x078E,16,1,16,/source/library/displays/oledssd1306.hs:117
0x0793,0,1,0,/source/library/displays/oledssd1306.hs:118
0x07A1,16,1,16,/source/library/displays/oledssd1306.hs:119
0x07A7,0,1,0,/source/library/displays/oledssd1306.hs:120
0x07B9,0,1,0,/source/library/displays/oledssd1306.hs:124
0x07BB,0,1,0,/source/library/displays/oledssd1306.hs:125
0x07BF,0,1,0,/source/library/displays/oledssd1306.hs:276
0x07C7,15,1,15,/source/library/displays/oledssd1306.hs:277
0x07CB,0,1,0,/source/library/displays/oledssd1306.hs:279
0x07D1,7992,1024,7.804688,/source/library/displays/oledssd1306.hs:281
0x07D9,9484,1024,9.261719,/source/library/displays/oledssd1306.hs:282
0x0818,0,1,0,/source/library/displays/oledssd1306.hs:248
0x081C,15,1,15,/source/library/displays/oledssd1306.hs:252
0x0824,362,64,5.65625,/source/library/displays/oledssd1306.hs:254
0x082B,79,8,9.875,/source/library/displays/oledssd1306.hs:256
0x0831,15,8,1.875,/source/library/displays/oledssd1306.hs:257
0x0836,63,8,7.875,/source/library/displays/oledssd1306.hs:258
0x083E,31,8,3.875,/source/library/displays/oledssd1306.hs:259
0x0844,15,8,1.875,/source/library/displays/oledssd1306.hs:260
0x0849,92,8,11.5,/source/library/displays/oledssd1306.hs:261
0x084F,16,8,2,/source/library/displays/oledssd1306.hs:262
0x0851,284,64,4.4375,/source/library/displays/oledssd1306.hs:265
0x0857,329,64,5.140625,/source/library/displays/oledssd1306.hs:266
0x085D,634,64,9.90625,/source/library/displays/oledssd1306.hs:267
0x0868,408,64,6.375,/source/library/displays/oledssd1306.hs:268
0x086D,252,64,3.9375,/source/library/displays/oledssd1306.hs:269
0x0873,619,64,9.671875,/source/library/displays/oledssd1306.hs:270
0x0879,0,1,0,/source/library/displays/oledssd1306.hs:272
0x08DB,0,1,0,/source/system/int.hs:77
0x08DD,16,1,16,/source/system/int.hs:82
0x08EE,0,1,0,/source/system/int.hs:87
0x08F7,0,1,0,/source/system/int.hs:90
0x08FC,0,3,0,/source/system/int.hs:92
0x08FF,30,2,15,/source/system/int.hs:94
0x0904,0,2,0,/source/system/int.hs:95
0x090B,32,2,16,/source/system/int.hs:96
0x0911,0,2,0,/source/system/int.hs:97
0x0916,0,2,0,/source/system/int.hs:98
0x0918,16,1,16,/source/system/int.hs:99
0x0921,0,1,0,/source/system/int.hs:103
0x0926,15,1,15,/source/system/int.hs:130
0x0935,0,1,0,/source/system/int.hs:131
0x0944,16,1,16,/source/library/display.hs:11
0x094B,0,1,0,/source/library/display.hs:12
0x0960,15,1,15,/source/library/wire.hs:23
0x0965,0,1,0,/source/library/wire.hs:36
0x097B,16,1,16,/source/library/wire.hs:41
0x09E9,0,1,0,/source/library/wire.hs:48
0x09F6,15,1,15,/source/library/wire.hs:77
0x09FE,0,1,0,/source/library/wire.hs:78
0x0A03,16,1,16,/source/library/wire.hs:79
